CODIGO;ABRANGENCIA;NOME_ATIVO;N_MESES_TOTAL;N_MESES_AUSENTES;INTERVALOS_AUSENTES
4201029;São Paulo (RM);Bolsa e carteira masculina;186;186;1991-01 a 2006-06
1101068;São Paulo (RM);Feijão - roxo;186;186;1991-01 a 2006-06
1101064;São Paulo (RM);Feijão - jalo (enxofrão);186;186;1991-01 a 2006-06
5102001;São Paulo (RM);Automóvel novo;427;186;1991-01 a 2006-06
1106013;São Paulo (RM);Laranja - seleta;186;186;1991-01 a 2006-06
5102030;São Paulo (RM);Som para veículo;186;186;1991-01 a 2006-06
1109024;São Paulo (RM);Camarão seco salgado;186;186;1991-01 a 2006-06
1110003;São Paulo (RM);Peru;186;186;1991-01 a 2006-06
4201008;São Paulo (RM);Sandália / chinelo infantil;348;186;1991-01 a 2006-06
3201050;São Paulo (RM);Chuveiro elétrico;361;186;1991-01 a 2006-06
3201029;São Paulo (RM);Pilha;186;186;1991-01 a 2006-06
1112012;São Paulo (RM);Pão de milho;186;186;1991-01 a 2006-06
1102022;São Paulo (RM);Fécula de mandioca;186;186;1991-01 a 2006-06
1115058;São Paulo (RM);Milho-verde em conserva;427;186;1991-01 a 2006-06
7201097;São Paulo (RM);Alimento para animais (exceto cães);186;186;1991-01 a 2006-06
1103022;São Paulo (RM);Jiló;186;186;1991-01 a 2006-06
1201032;São Paulo (RM);Caldos;186;186;1991-01 a 2006-06
1116062;São Paulo (RM);Pimenta do reino;186;186;1991-01 a 2006-06
3102012;São Paulo (RM);Garrafa térmica;186;186;1991-01 a 2006-06
1116055;São Paulo (RM);Cominho;186;186;1991-01 a 2006-06
1112019;São Paulo (RM);Bolo;427;186;1991-01 a 2006-06
1116071;São Paulo (RM);Tempero misto;427;186;1991-01 a 2006-06
1108051;São Paulo (RM);Peixe - traíra;186;186;1991-01 a 2006-06
1108057;São Paulo (RM);Peixe - surubim;186;186;1991-01 a 2006-06
5101010;São Paulo (RM);Passagem aérea;427;185;"1991-01 a 1993-12; 1999-08 a 2011-12"
1109058;São Paulo (RM);Carne de porco salgada e defumada;427;182;"1991-01 a 1999-07; 2020-01 a 2026-07"
3102010;São Paulo (RM);Utensílios de plástico;427;182;"1991-01 a 1999-07; 2020-01 a 2026-07"
2101012;São Paulo (RM);Mudança;361;182;"1991-01 a 1999-07; 2020-01 a 2026-07"
1114085;São Paulo (RM);Outras bebidas alcoólicas;427;182;"1991-01 a 1999-07; 2020-01 a 2026-07"
1116023;São Paulo (RM);Caldo de tucupi;179;179;"1999-08 a 2006-06; 2012-01 a 2019-12"
7203004;São Paulo (RM);Filmadora;179;179;"1999-08 a 2006-06; 2012-01 a 2019-12"
3202013;São Paulo (RM);Antena;179;179;"1999-08 a 2006-06; 2012-01 a 2019-12"
6301004;São Paulo (RM);Produto para barba;324;179;"1999-08 a 2006-06; 2012-01 a 2019-12"
1105019;São Paulo (RM);Brócolis;324;179;"1999-08 a 2006-06; 2012-01 a 2019-12"
