CODIGO;NOME_ATIVO;N_MESES_TOTAL;N_MESES_AUSENTES;INTERVALOS_AUSENTES
1104032;Sorvetes;423;102;"1991-01 a 1991-07; 1991-09 a 1999-07"
1103033;Moranga;102;102;"1991-01 a 1991-07; 1991-09 a 1999-07"
1107093;Músculo;423;102;"1991-01 a 1991-07; 1991-09 a 1999-07"
1105021;Caruru;102;102;"1991-01 a 1991-07; 1991-09 a 1999-07"
1105007;Espinafre;102;102;"1991-01 a 1991-07; 1991-09 a 1999-07"
1107091;Lagarto comum;423;102;"1991-01 a 1991-07; 1991-09 a 1999-07"
1108024;Peixe - pacu;96;96;2012-01 a 2019-12
1101075;Feijão - branco;96;96;2012-01 a 2019-12
1103026;Pimentão;423;96;2012-01 a 2019-12
1106019;Manga;321;96;2012-01 a 2019-12
1108067;Sururu;96;96;2012-01 a 2019-12
1108080;Peixe - tilápia;172;96;2012-01 a 2019-12
1108083;Peixe - tucunaré;96;96;2012-01 a 2019-12
1108054;Peixe - piau;96;96;2012-01 a 2019-12
2104012;Desinfetante;423;96;2012-01 a 2019-12
1108170;Peixe - mandi;96;96;2012-01 a 2019-12
1105018;Cebolinha;83;83;1999-08 a 2006-06
1103046;Mandioquinha (batata-baroa);179;83;1999-08 a 2006-06
1104029;Geléia de mocotó;83;83;1999-08 a 2006-06
1104031;Mel de abelha;83;83;1999-08 a 2006-06
1102028;Cremogema;83;83;1999-08 a 2006-06
1101080;Milho em espiga;83;83;1999-08 a 2006-06
1103022;Jiló;83;83;1999-08 a 2006-06
1104014;Rapadura;83;83;1999-08 a 2006-06
1106026;Acerola;83;83;1999-08 a 2006-06
1104064;Pamonha;83;83;1999-08 a 2006-06
1108020;Peixe - cocoroca;83;83;1999-08 a 2006-06
1106097;Cupuaçú;83;83;1999-08 a 2006-06
1104075;Fruta seca;83;83;1999-08 a 2006-06
1104096;Schimier de frutas;83;83;1999-08 a 2006-06
1104069;Adoçante artificial;83;83;1999-08 a 2006-06
2101008;Compra de água;83;83;1999-08 a 2006-06
1108048;Peixe - xerelete;83;83;1999-08 a 2006-06
1108047;Peixe - arraia;83;83;1999-08 a 2006-06
1108035;Peixe - pampo;83;83;1999-08 a 2006-06
1112040;Torta doce;83;83;1999-08 a 2006-06
1111040;Queijo reino;83;83;1999-08 a 2006-06
1114096;Água mineral;83;83;1999-08 a 2006-06
1108058;Peixe - albacora;83;83;1999-08 a 2006-06
1116071;Tempero misto;423;83;1999-08 a 2006-06
1111046;Nata;83;83;1999-08 a 2006-06
1109027;Peixe - pirarucu - salgado;83;83;1999-08 a 2006-06
1111025;Queijo parmesão;83;83;1999-08 a 2006-06
1112012;Pão de milho;83;83;1999-08 a 2006-06
1110014;Asa de frango;83;83;1999-08 a 2006-06
1112021;Massa para pão de queijo;83;83;1999-08 a 2006-06
1112034;Rosca doce;83;83;1999-08 a 2006-06
1104095;Beiju;83;83;1999-08 a 2006-06
2104041;Papel toalha;159;76;2020-01 a 2026-04
1201052;Vinho;76;76;2020-01 a 2026-04
1201061;Doces;321;76;2020-01 a 2026-04
1111038;Leite fermentado;225;76;2020-01 a 2026-04
1114091;Chá mate (erva mate);76;76;2020-01 a 2026-04
