"Tabela 651 - INPC - Variação acumulada no ano, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de agosto/1999 até junho/2006)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Variável";"Mês";"Geral, grupo, subgrupo, item e subitem";""
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1104095.Beiju";"4,14";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1104096.Schimier de frutas";"1,55";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1105.Hortaliças e verduras";"4,43";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1105001.Alface";"0,32";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1105003.Chicória";"7,34";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1105004.Coentro";"6,38";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1105005.Couve";"2,40";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1105006.Couve-flor";"8,61";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1105008.Mostarda";"-1,26";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1105010.Repolho";"34,96";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1105012.Cheiro-verde";"-1,51";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1105013.Agrião";"-2,52";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1105018.Cebolinha";"2,52";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1105019.Brócolis";"13,95";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106.Frutas";"-4,53";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106001.Banana-da-terra";"-4,30";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106003.Abacaxi";"4,86";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106004.Abacate";"-54,02";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106005.Banana - d'água";"4,42";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106006.Banana - maçã";"-4,16";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106008.Banana - prata";"8,47";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106009.Caqui";"0,00";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106011.Laranja - baía";"-5,87";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106012.Laranja - lima";"-31,21";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106013.Laranja - seleta";"16,31";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106015.Limão";"-1,15";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106017.Maçã";"-1,45";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106018.Mamão";"13,39";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106019.Manga";"-0,85";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106020.Maracujá";"-18,41";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106021.Melancia";"4,84";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106022.Melão";"26,00";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106023.Pera";"1,00";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106024.Pêssego";"0,00";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106026.Acerola";"-1,01";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106027.Tangerina";"-30,88";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106028.Uva";"-3,17";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106029.Kiwi";"-1,75";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106034.Ameixa";"0,00";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106039.Laranja - pera";"-7,02";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106051.Morango";"2,90";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106084.Goiaba";"0,00";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1106097.Cupuaçú";"0,00";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107.Carnes";"6,44";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107008.Tripa e bucho";"17,32";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107009.Fígado";"-9,57";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107010.Coração e outras vísceras";"0,43";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107018.Carne de porco";"3,34";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107031.Carne de carneiro";"0,75";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107060.Bife rolé";"2,90";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107081.Cupim";"0,28";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107084.Contrafilé";"6,73";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107085.Filé-mignon";"-0,76";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107087.Chã de dentro";"7,51";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107088.Alcatra";"5,65";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107089.Patinho";"8,75";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107090.Lagarto redondo";"4,66";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107091.Lagarto plano";"10,56";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107093.Músculo";"6,84";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107094.Pá";"6,26";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107095.Acém";"7,76";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107096.Peito";"5,26";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1107099.Costela";"7,85";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108.Pescados";"16,03";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108001.Filé de peixe";"18,84";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108002.Peixe - anchova";"3,28";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108004.Peixe - corvina";"13,67";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108005.Peixe - cavalinha";"34,93";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108009.Peixe - pescadinha";"20,25";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108011.Peixe - tainha";"17,45";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108012.Peixe - sardinha";"61,52";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108013.Camarão";"12,36";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108015.Peixe - vermelho";"-0,23";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108019.Peixe - cavala";"10,43";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108020.Peixe - cocoroca";"2,77";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108027.Peixe - espada";"0,48";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108028.Peixe - dourado";"-1,92";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108032.Peixe - serra";"-4,61";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108033.Peixe - pargo";"10,98";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108035.Peixe - pampo";"-1,79";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108038.Peixe - pescada";"6,10";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108040.Peixe - salmonete";"-1,92";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108045.Caranguejo";"-9,47";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108048.Peixe - xerelete";"-0,49";"%"
