"Tabela 2951 - INPC - Variação mensal, acumulada no ano e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de julho/2006 até dezembro/2011)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Variável";"Mês";"Geral, grupo, subgrupo, item e subitem";""
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108053.Peixe - piramutaba";"-7,02";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108076.Peixe - acará";"-2,57";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108088.Peixe - dourada";"-3,26";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1109.Carnes e peixes industrializados";"0,23";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1109002.Presunto";"-2,75";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1109007.Salsicha e salsichão";"-1,37";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1109008.Linguiça";"3,00";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1109010.Mortadela";"1,33";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1109023.Bacalhau";"5,17";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1109056.Carne seca";"-3,14";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1109058.Carne de porco salgada e defumada";"-5,64";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1109088.Carne de hambúrguer";"-0,71";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1110.Aves e ovos";"-2,39";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1110009.Frango inteiro";"-2,96";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1110010.Frango em pedaços";"-1,42";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1110044.Ovo de galinha";"-1,20";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1111.Leites e derivados";"0,11";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1111004.Leite pasteurizado";"0,28";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1111008.Leite condensado";"-0,62";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1111009.Leite em pó";"-0,69";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1111011.Queijo";"0,54";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1111012.Creme de leite";"2,72";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1111019.Iogurte";"0,91";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1111031.Manteiga";"-2,30";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1111038.Leite fermentado";"1,55";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1111046.Nata";"1,44";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1111051.Leite com sabor";"-0,42";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1112.Panificados";"-0,28";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1112003.Biscoito";"0,81";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1112015.Pão francês";"-0,72";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1112017.Pão doce";"0,37";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1112018.Pão de forma";"-1,67";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1112019.Bolo";"-0,65";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1112025.Pão de queijo";"1,56";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1113.Óleos e gorduras";"0,42";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1113013.Óleo de soja";"1,18";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1113014.Azeite de oliva";"3,51";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1113020.Banha de porco";"-0,24";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1113040.Margarina vegetal";"-0,91";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1114.Bebidas e infusões";"0,17";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1114001.Suco de frutas";"-0,87";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1114004.Polpa de açaí";"7,00";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1114022.Café moído";"-0,76";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1114023.Café solúvel";"0,14";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1114029.Chá";"-0,92";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1114083.Refrigerante e água mineral";"0,12";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1114084.Cerveja";"-0,25";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1114085.Outras bebidas alcoólicas";"0,26";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1115.Enlatados e conservas";"0,85";"%"
