"Tabela 7063 - INPC - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)"
"Geral, grupo, subgrupo, item e subitem";"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Mês";"Variável";""
"Índice geral";"RM";"3501";"São Paulo (SP)";"fevereiro 2020";"INPC - Variação mensal";"0,04";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"março 2020";"INPC - Variação mensal";"0,20";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"abril 2020";"INPC - Variação mensal";"-0,32";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"maio 2020";"INPC - Variação mensal";"-0,14";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"junho 2020";"INPC - Variação mensal";"0,41";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"julho 2020";"INPC - Variação mensal";"0,34";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"agosto 2020";"INPC - Variação mensal";"0,51";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"setembro 2020";"INPC - Variação mensal";"0,77";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"outubro 2020";"INPC - Variação mensal";"0,95";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"novembro 2020";"INPC - Variação mensal";"1,21";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"dezembro 2020";"INPC - Variação mensal";"1,20";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"janeiro 2021";"INPC - Variação mensal";"0,25";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"fevereiro 2021";"INPC - Variação mensal";"0,76";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"março 2021";"INPC - Variação mensal";"0,75";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"abril 2021";"INPC - Variação mensal";"0,24";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"maio 2021";"INPC - Variação mensal";"1,01";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"junho 2021";"INPC - Variação mensal";"0,65";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"julho 2021";"INPC - Variação mensal";"1,17";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"agosto 2021";"INPC - Variação mensal";"1,13";"%"
