"Tabela 1100 - INPC - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de janeiro/2012 até dezembro/2019)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável";""
"BR";"1";"Brasil";"janeiro 2012";"1107088.Alcatra";"INPC - Variação mensal";"0,02";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107089.Patinho";"INPC - Variação mensal";"-1,43";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107090.Lagarto redondo";"INPC - Variação mensal";"-2,40";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107091.Lagarto comum";"INPC - Variação mensal";"-1,15";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107093.Músculo";"INPC - Variação mensal";"-2,18";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107094.Pá";"INPC - Variação mensal";"-2,14";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107095.Acém";"INPC - Variação mensal";"-2,44";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107096.Peito";"INPC - Variação mensal";"-3,06";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107097.Capa de filé";"INPC - Variação mensal";"-4,48";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107099.Costela";"INPC - Variação mensal";"-0,59";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108.Pescados";"INPC - Variação mensal";"4,31";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108004.Peixe - corvina";"INPC - Variação mensal";"3,87";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108005.Peixe - cavalinha";"INPC - Variação mensal";"2,91";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108006.Peixe";"INPC - Variação mensal";"-3,33";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108008.Peixe - namorado";"INPC - Variação mensal";"5,73";"%"
